title,price RUB,rating,reviews,Screen Size in,Storage Capacity GB,RAM GB,Features,Brand,Model,Processor,Chipset Model,Lock Status,Network,Operating System,Connectivity,Camera Resolution MP,Colour_AT&T,Colour_Black,Colour_Blue,Colour_Gold,Colour_Green,Colour_Grey,Colour_Multicoloured,Colour_Pink,Colour_Purple,Colour_Red,Colour_Silver,Colour_Unknown,Colour_White,Colour_Yellow,product condition_Unknown,product condition_бу,product condition_восстановленное в хорошем состоянии,product condition_на запчасти,product condition_новое
209,106.08,0.8616241299303946,0.06579324841224019,0.008093434343434344,0.22425696986734306,0.061817023793276,81,27,176,30,92,7,18,15,64,0.26600449757589073,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
3,9456.9,0.9400000000000001,0.037109375,0.005411255411255412,0.06158357771260997,0.027450980392156862,44,27,154,14,92,4,1,5,9,0.24962481240620313,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
343,38996.68,0.8616241299303946,0.06579324841224019,0.008093434343434344,0.006842619745845552,0.061817023793276,81,27,157,30,92,7,4,16,64,0.26600449757589073,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
123,4232.57,0.8,0.001953125,0.008093434343434344,0.22425696986734306,0.061817023793276,81,18,176,30,92,7,18,15,64,0.26600449757589073,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
124,7414.95,0.8,0.001953125,0.008093434343434344,0.22425696986734306,0.061817023793276,81,18,176,30,92,7,18,15,64,0.26600449757589073,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
210,53529.64,0.0,0.0,0.005411255411255412,0.1241446725317693,0.058823529411764705,81,27,160,3,17,7,19,5,63,0.24962481240620313,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
223,9944.42,0.8616241299303946,0.06579324841224019,0.008093434343434344,0.06158357771260997,0.061817023793276,81,27,67,30,92,5,20,15,64,0.26600449757589073,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False
140,2110.98,0.0,0.0,0.008093434343434344,0.22425696986734306,0.061817023793276,81,20,176,30,92,7,18,15,64,0.26600449757589073,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
60,4484.2,0.9199999999999999,0.05859375,0.005411255411255412,0.06158357771260997,0.061817023793276,81,27,155,30,49,4,19,5,64,0.26600449757589073,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
139,3171.77,0.0,0.0,0.008093434343434344,0.22425696986734306,0.061817023793276,81,20,176,30,92,7,18,15,64,0.26600449757589073,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
146,2641.38,0.8616241299303946,0.06579324841224019,0.008093434343434344,0.22425696986734306,0.061817023793276,81,20,176,30,92,7,18,15,64,0.26600449757589073,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
111,24375.0,0.8616241299303946,0.06579324841224019,0.005411255411255412,0.1241446725317693,0.061817023793276,83,18,104,28,92,4,5,7,11,0.31965982991495745,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
136,5293.36,0.8616241299303946,0.06579324841224019,0.008093434343434344,0.22425696986734306,0.061817023793276,81,20,176,30,92,7,18,15,64,0.26600449757589073,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
23,37050.51,0.0,0.0,0.005411255411255412,0.1241446725317693,0.043137254901960784,81,4,24,5,92,4,21,17,65,0.05952976488244122,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
204,13950.91,1.0,0.005859375,0.005411255411255412,0.1241446725317693,0.058823529411764705,70,26,158,14,89,2,19,5,62,0.05952976488244122,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
254,83852.38,0.8616241299303946,0.06579324841224019,0.005411255411255412,0.24926686217008798,0.09019607843137255,81,27,159,30,92,7,21,15,30,0.26600449757589073,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
9,18525.74,0.9400000000000001,0.078125,0.005411255411255412,0.06158357771260997,0.027450980392156862,81,4,18,5,6,7,19,17,51,0.05952976488244122,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
326,12682.53,0.96,0.107421875,0.005411255411255412,0.1241446725317693,0.027450980392156862,78,13,76,30,92,7,19,15,64,0.26600449757589073,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
128,63541.54,0.8616241299303946,0.06579324841224019,0.008093434343434344,0.22425696986734306,0.061817023793276,81,20,176,30,92,7,18,15,64,0.26600449757589073,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
196,12681.79,0.8616241299303946,0.06579324841224019,0.008093434343434344,0.22425696986734306,0.061817023793276,81,35,176,30,92,7,18,15,64,0.26600449757589073,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
222,759.76,0.8616241299303946,0.06579324841224019,0.004329004329004329,0.01466275659824047,0.011764705882352941,81,27,163,16,92,5,19,5,8,0.06453226613306652,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
5,39585.61,0.8616241299303946,0.06579324841224019,0.004329004329004329,0.06158357771260997,0.061817023793276,81,4,19,30,92,7,18,18,64,0.26600449757589073,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False
29,68251.76,0.8616241299303946,0.06579324841224019,0.005411255411255412,0.1241446725317693,0.058823529411764705,81,4,29,5,2,4,22,17,44,0.2396198099049525,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
30,68251.76,0.8616241299303946,0.06579324841224019,0.005411255411255412,0.1241446725317693,0.058823529411764705,81,4,29,5,2,4,22,17,44,0.2396198099049525,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
318,48654.45,0.9400000000000001,0.01171875,0.004329004329004329,0.1241446725317693,0.043137254901960784,71,17,96,14,82,4,2,5,61,0.054527263631815905,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
